name,original_name,nationalities,painting_schools,art_movements,birth_date,death_date
victor vasarely,Vásárhelyi Győző,french;hungarian,,op art,1906-04-09,1997-03-15
gego,Gertrude Goldschmidt,german;venezuelan,,op art;minimalism,1912-08-01,1994-09-17
edna andrade,Edna Andrade,american,,op art,1917-01-25,2008-04-17
marcel barbeau,"Marcel Barbeau, OC",canadian,les automatistes,abstract expressionism;op art;minimalism;abstract art,1925-02-18,0001-01-01
almir mavignier,Almir da Silva Mavignier,german;brazilian,zero,op art,1925-05-01,0001-01-01
tony delap,Tony DeLap,american,,op art;light and space,0001-01-01,0001-01-01
omar rayo,Omar Rayo,colombian,,op art,1928-01-20,2010-06-07
julian stanczak,Julian Stanczak,american;polish,,op art,1928-11-05,0001-01-01
richard anuszkiewicz,Richard Anuszkiewicz,american,,op art,1930-05-23,0001-01-01
bridget riley,Bridget Louise Riley,british,,op art,1931-04-24,0001-01-01
antonio asis,Antonio Asis,argentinean,,op art,0001-01-01,0001-01-01
walter leblanc,Walter Leblanc,belgian,zero,op art,1932-12-26,1986-01-14
victor bonato,Vittorio Bonato,german,,op art;minimalism,0001-01-01,0001-01-01
tadasky,Tadasuke Kuwayama,american;japanese,gutai group,op art,0001-01-01,0001-01-01
constantin flondor,Constantin Flondor,romanian,prolog group;sigma group;111,abstract art;op art;contemporary,0001-01-01,0001-01-01
alberto biasi,Alberto Biasi,italian,gruppo n,op art,1937-06-02,0001-01-01
tess jaray,Tess Jaray RA,british;austrian,,op art;minimalism,1937-12-31,0001-01-01
markus raetz,Markus Raetz,swiss,,op art;conceptual art,1941-06-06,0001-01-01
francois rouan,François Rouan,french,supports/surfaces,op art,1943-06-08,0001-01-01
boris bucan,Boris Bućan,croatian,,pop art;op art,1947-03-15,0001-01-01
eric zammitt,Eric Zammitt,american,,op art;light and space,0001-01-01,0001-01-01
chul hyun ahn,안철현,south korean,,op art;neo minimalism,1971-01-15,0001-01-01
john brack,Cecil John Brack,australian,antipodeans,expressionism;pop art,1920-05-10,1999-02-11
wayne thiebaud,Wayne Thiebaud,american,bay area figurative school,pop art,1920-11-15,0001-01-01
roger raveel,Roger Henri Kamiel Ridder Raveel,belgian,,pop art,1921-07-15,2013-01-30
richard hamilton,Richard Hamilton,british,independent group,pop art,1922-02-24,2011-09-13
roy lichtenstein,Roy Fox Lichtenstein,american,,pop art,0001-01-01,0001-01-01
larry rivers,Yitzroch Loiza Grossberg,american;jewish,new york school,abstract expressionism;pop art,1923-08-17,2002-08-14
richard artschwager,Richard Artschwager,american,,pop art;conceptual art;minimalism,1923-12-26,2013-02-09
stanley pinker,Stanley Faraday Pinker,south african,,cubism;pop art,0001-01-01,2012-06-16
eduardo paolozzi,Sir Eduardo Luigi Paolozzi,british,independent group,pop art,1924-03-07,2005-04-22
george segal,George Segal,american,,pop art;environmental art,1924-11-26,2000-06-09
rosalyn drexler,Rosalyn Drexler,american,,pop art,0001-01-01,0001-01-01
alina szapocznikow,Alina Szapocznikow,polish,,surrealism;pop art;nouveau realisme,1926-05-16,1973-02-02
alex katz,Alex Katz,american,,pop art,1927-07-24,0001-01-01
andy warhol,"Andrew Warhola, Jr.",american,the factory,pop art,1928-08-06,1987-02-22
joe tilson,Joseph Charles Tilson,british,,pop art,1928-08-24,0001-01-01
robert indiana,Robert Clark,american,,pop art,1928-09-13,0001-01-01
claes oldenburg,Claes Oldenburg,american;swedish,,pop art,1929-01-28,0001-01-01
burhan dogancay,Burhan Cahit Doğançay,turkish,,pop art;street art,1929-09-11,2013-01-16
walasse ting,丁雄泉,american;chinese,cobra,abstract expressionism;pop art,1929-10-13,2010-05-17
alex hay,Alex Hay,american,,pop art;minimalism,0001-01-01,0001-01-01
allan d'arcangelo,Allan D'Arcangelo,american,,pop art,1930-06-16,1998-12-17
lourdes castro,Lourdes Castro,portuguese,,pop art;nouveau realisme,1930-12-09,0001-01-01
audrey flack,Audrey Flack,,,abstract expressionism;pop art;photorealism;hyper realism,0001-01-01,0001-01-01
nikias skapinakis,Nikias Skapinakis,greek;portuguese,,pop art,0001-01-01,0001-01-01
tom wesselmann,Tom Wesselmann,american,,pop art,1931-02-23,0001-01-01
erro,Erró (Guðmundur Guðmundsson),icelandic,,pop art,0001-01-01,0001-01-01
peter blake,Sir Peter Thomas Blake,british,brotherhood of ruralists,pop art,1932-06-25,0001-01-01
r. b. kitaj,Ronald Brooks Kitaj,american,school of london,pop art,1932-10-29,2007-10-21
paul thek,Paul Thek,american,,pop art;conceptual art,1933-11-02,1988-08-10
james rosenquist,James Rosenquist,american,,pop art,1933-11-29,2017-03-31
marjorie strider,Marjorie Strider,american,,pop art,0001-01-01,2014-08-27
antonio areal,António Santiago Gonçalves Areal e Silva,portuguese,,art informel;pop art,0001-01-01,0001-01-01
mario schifano,Mario Schifano,italian;lebanese,,pop art,1934-09-20,1998-01-26
rene bertholo,René Bértholo,portuguese,,pop art,0001-01-01,0001-01-01
samuel buri,Samuel Buri,swiss,,pop art,0001-01-01,0001-01-01
konrad klapheck,Konrad Klapheck,german,,surrealism;pop art,1935-02-10,0001-01-01
kenneth price,Kenneth Price,american,,pop art;post minimalism,1935-02-16,2012-02-24
valerio adami,Valerio Adami,italian,,pop art,1935-03-17,0001-01-01
ivan eyre,Ivan Kenneth Eyre,canadian,,contemporary;surrealism;pop art,1935-04-15,0001-01-01
mel ramos,Mel Ramos,american,,pop art,1935-07-24,0001-01-01
evelyne axell,Evelyne Axell Devaux,belgian,,pop art,1935-08-16,1972-09-10
jerry w. mcdaniel,Jerry McDaniel,american,,pop art,1935-09-09,0001-01-01
billy apple,Barrie Bates,new zealander,,pop art;conceptual art,1935-12-31,0001-01-01
martial raysse,Martial Raysse,french,,pop art;nouveau realisme,0001-01-01,0001-01-01
oskar holweck,Oskar Holweck,german,zero,nouveau realisme,1924-11-19,2007-01-30
henk peeters,Henk Peeters,dutch,zero,nouveau realisme,1925-12-08,2013-04-13
yves klein,Yves Klein,french,zero,nouveau realisme,1928-04-28,1962-06-06
arman,Armand Pierre Fernandez,french;american,,nouveau realisme,1928-11-17,2005-10-22
niki de sainte phalle,Catherine-Marie-Agnès Fal de Saint Phalle,french,,nouveau realisme,1930-10-29,2002-05-21
bernard aubertin,Bernard Aubertin,french,zero,nouveau realisme,0001-01-01,0001-01-01
jean pierre raynaud,Jean-Pierre Raynaud,french,,nouveau realisme;minimalism,1939-04-20,0001-01-01
anthony caro,"Sir Anthony Alfred Caro, OM, CBE",british,,new generation sculpture;minimalism,1924-03-08,0001-01-01
phillip king,Phillip King PRA,british,,new generation sculpture,0001-01-01,0001-01-01
michael bolus,Michael Bolus,british;south african,,new generation sculpture,0001-01-01,0001-01-01
william tucker,William G. Tucker,british;egyptian,,new generation sculpture,0001-01-01,0001-01-01
david annesley,David Annesley,british,,new generation sculpture,0001-01-01,0001-01-01
tim scott,Tim Scott,british,,new generation sculpture,0001-01-01,0001-01-01
arthur pan,Arthur Pan,hungarian,,classical realism,0001-01-01,0001-01-01
nelson shanks,Nelson Shanks,american,,classical realism;kitsch,0001-01-01,0001-01-01
d. jeffrey mims,D. Jeffrey Mims,american,,classical realism,0001-01-01,0001-01-01
jacob collins,Jacob Collins,american,,classical realism;contemporary realism,1964-08-11,0001-01-01
dana levin,Dana Elizabeth Levin,american,,classical realism;contemporary realism,1969-06-26,0001-01-01
maria lai,Maria Lai,italian,,contemporary,1919-09-27,2013-04-16
charles garabedian,Չարլզ Կարապետյան,american;armenian,,contemporary;contemporary realism,1923-12-29,2016-02-11
dusan dzamonja,Dušan Džamonja,croatian,,contemporary,1928-01-31,2009-01-14
omer uluc,Ömer Uluç,turkish,,contemporary,0001-01-01,0001-01-01
john miller,John Miller,british,,contemporary,0001-01-01,0001-01-01
ozdemir atlan,Özdemir Altan,turkish,,contemporary,0001-01-01,0001-01-01
ferenc pinter,Pintér Ferenc,,,contemporary,1931-10-31,2008-02-28
howard hodgkin,Howard Hodgkin,british,,abstract expressionism;contemporary,1932-08-06,0001-01-01
kazuaki tanahashi,Kazuaki Tanahashi (棚橋一晃),japanese,,contemporary;showa period,0001-01-01,0001-01-01
samuel bak,Samuel Bak,jewish,,contemporary,1933-08-12,0001-01-01
viorel marginean,Viorel Mărginean,romanian,,contemporary,1933-12-12,0001-01-01
lino tagliapietra,Lino Tagliapietra,italian,,contemporary,0001-01-01,0001-01-01
claude viallat,Claude Viallat,french,supports/surfaces,contemporary,0001-01-01,0001-01-01
rochelle blumenfeld,Rochelle Blumenfeld,,,abstract expressionism;abstract art;contemporary,1936-06-19,0001-01-01
andre pierre arnal,André-Pierre Arnal,french,supports/surfaces,art informel;contemporary,1939-12-16,0001-01-01
rafa nasiri,Rafa al-Nasiri,iraqi,,contemporary,0001-01-01,0001-01-01
abbas kiarostami,عباس کیارستمی,iranian,,contemporary,1940-06-22,2016-07-04
jahar dasgupta,Jahar Dasgupta,indian,,contemporary,0001-01-01,0001-01-01
sorin ilfoveanu,Sorin Ilfoveanu,romanian,,contemporary,1942-05-23,0001-01-01
hassan massoudy,Hassan Massoudy (حسن المسعود الخطاط),french;iraqi,,contemporary,0001-01-01,0001-01-01
aki kuroda,Akihiko Kuroda (黒田 明比古),japanese,,contemporary,1944-10-04,0001-01-01
ali omar ermes,علي عمر الرميص,libyan,,contemporary,0001-01-01,0001-01-01
houria niati,Houria Niati,algerian,,contemporary,0001-01-01,0001-01-01
luciano bartolini,Luciano Bartolini,italian,nuovi nuovi,contemporary,1948-07-23,0001-01-01
mark tansey,Mark Tansey,american,,contemporary,0001-01-01,0001-01-01
abdul qader al raes,Abdul Qader Al Raes,emirati,,contemporary,0001-01-01,0001-01-01
wanda koop,"Wanda Koop, CM",canadian,,contemporary,0001-01-01,0001-01-01
giuliana lazzerini,Giuliana Lazzerini,italian;british,,contemporary,0001-01-01,0001-01-01
eva janina wieczorek,Eva Janina Wieczorek,german,,contemporary;realism;surrealism,1951-05-23,0001-01-01
lech twardowski,Lech Twardowski,polish,,contemporary,0001-01-01,0001-01-01
pedro calapez,Pedro Calapez,portuguese,,abstract expressionism;contemporary,0001-01-01,0001-01-01
alfio giuffrida,Alfio Giuffrida,italian,,conceptual art;contemporary,1953-01-28,0001-01-01
andreas gursky,Andreas Gursky,german,dusseldorf school of photography,contemporary,1955-01-15,0001-01-01
kerry james marshall,Kerry James Marshall,american,,contemporary,1955-10-17,0001-01-01
lalla essaydi,Lalla Essaydi,moroccan,,contemporary,0001-01-01,0001-01-01
kaloust guedel,Kaloust Guedelekian,american;armenian,,excessivism;contemporary;light and space,1956-10-31,0001-01-01
mihai sarbulescu,Mihai Sârbulescu,romanian,prolog group,contemporary;expressionism,0001-01-01,0001-01-01
leon tarasewicz,"Лёнік Тарасэвіч, Лявон Тарасевіч",polish;belarusian,,contemporary,1957-03-14,0001-01-01
charles gibbons,Charles Gibbons,canadian,,abstract expressionism;contemporary;neo minimalism,1957-06-01,0001-01-01
dan witz,Dan Witz,american,,street art;contemporary;photorealism;hyper realism,1957-10-19,0001-01-01
zhang xiaogang,Zhāng Xiǎogāng (张晓刚; 張曉剛),chinese,,contemporary,0001-01-01,0001-01-01
sarunas sauka,Šarūnas Sauka,lithuanian,,surrealism;contemporary,1958-09-11,0001-01-01
jimmy ortiz,Jimmy Ortiz y Luna,ecuadorian,abstraction creation,contemporary,1958-10-14,0001-01-01
claudio castillo,Claudio Castillo,,,contemporary,1958-12-15,0001-01-01
eleonora brigalda barbas,Eleonora Brigalda Barbas,moldovian,,contemporary,1959-01-14,0001-01-01
iseult labote,Vanna Karamaounas,swiss;greek,,minimalism;conceptual art;contemporary,1959-05-05,0001-01-01
joseph pace,Joseph Pace,italian,,contemporary,1959-11-18,0001-01-01
beatriz milhazes,Beatriz Milhazes,brazilian,,contemporary,0001-01-01,0001-01-01
mostafa dashti,مصطفی دشتی,iranian,,contemporary,0001-01-01,0001-01-01
leon ferrari,León Ferrari,argentinean,,conceptual art,1920-09-03,2013-07-25
ion bitzan,Ion Bitzan,romanian,,conceptual art,0001-01-01,0001-01-01
marcel broodthaers,Marcel Broodthaers,belgian,,conceptual art,0001-01-01,0001-01-01
douglas huebler,Douglas Huebler,american,,conceptual art,0001-01-01,0001-01-01
roberto sambonet,Roberto Sambonet,italian,,conceptual art,1924-01-02,1995-11-28
tsuruko yamazaki,Tsuruko Yamazaki,japanese,gutai group,abstract expressionism;conceptual art,0001-01-01,0001-01-01
edward krasinski,Edward Krasiński,polish,,conceptual art;minimalism,1925-03-03,2004-04-06
geta bratescu,Geta Brătescu,romanian,,conceptual art,1926-05-04,0001-01-01
sol lewitt,Solomon LeWitt,american,,conceptual art;minimalism,1928-09-09,2007-04-08
li yuan chia,李元佳,chinese,,abstract art;conceptual art;republic of china,0001-01-01,0001-01-01
robert heinecken,Robert Heinecken,,,conceptual art;photorealism;hyper realism,0001-01-01,0001-01-01
john baldessari,John Anthony Baldessari,american,,conceptual art,1931-06-07,0001-01-01
herman de vries,Herman De Vries,dutch,zero,conceptual art;environmental art,1931-07-11,0001-01-01
roman opalka,Roman Opałka,french;polish,,conceptual art,1931-08-27,2011-08-06
james lee byars,James Lee Byars,american,,conceptual art;post minimalism,1932-04-10,1997-05-23
peter dreher,Peter Dreher,german,,conceptual art;contemporary realism,1932-08-26,0001-01-01
andre cadere,Andrei Cădere,french;polish;romanian,,conceptual art;post minimalism,0001-01-01,0001-01-01
helena almeida,Maria Helena de Castro Neves de Almeida,portuguese,,conceptual art,0001-01-01,0001-01-01
stanley brouwn,Stanley Edmund Brouwn,dutch,zero,conceptual art,1935-06-25,0001-01-01
robert barry,Robert Barry,american,,conceptual art,1936-03-09,0001-01-01
hans haacke,Hans Haacke,american;german,,conceptual art,1936-08-12,0001-01-01
iain baxter&,"Iain Baxter&, OC, OBC",british;canadian,,conceptual art,1936-11-16,0001-01-01
robert macpherson,Robert MacPherson,australian,,conceptual art,0001-01-01,0001-01-01
luis camnitzer,Luis Camnitzer,american;german;uruguayan,,conceptual art,0001-01-01,0001-01-01
roberto chabet,"Roberto ""Bobby"" Rodríguez Chabet",filipino,,conceptual art;environmental art,1937-03-29,2013-04-30
paul neagu,Paul Neagu,british;romanian,,conceptual art,0001-01-01,0001-01-01
daniel buren,Daniel Buren,french,bmpt,conceptual art;minimalism,1938-03-25,0001-01-01
dennis oppenheim,Dennis Oppenheim,american,,conceptual art;post minimalism;environmental art,1938-09-06,2011-01-21
siah armajani,سیاوش ارمجانی,iranian;american,,conceptual art,0001-01-01,0001-01-01
ian burn,Ian Burn,australian,art & language,conceptual art,1939-12-29,1993-09-29
mel bochner,Mel Bochner,american,,conceptual art,0001-01-01,0001-01-01
peter downsbrough,Peter Downsbrough,american,,conceptual art;minimalism,0001-01-01,0001-01-01
vito acconci,Vito Hannibal Acconci,american,,conceptual art,1940-01-24,0001-01-01
mihai olos,Mihai Olos,romanian,,abstract art;conceptual art,1940-02-26,2015-02-22
claude rutault,Claude Rutault,french,,conceptual art;minimalism,0001-01-01,0001-01-01
hanne darboven,Hanne Darboven,german,,conceptual art;minimalism,1941-04-29,2009-03-09
jan dibbets,Jan Dibbets,dutch,,conceptual art,1941-05-09,0001-01-01
daniel dezeuze,Daniel Dezeuze,french,supports/surfaces,conceptual art,0001-01-01,0001-01-01
lawrence weiner,Lawrence Weiner,american,,conceptual art,1942-02-10,0001-01-01
frank auerbach,Frank Helmut Auerbach,german;british,school of london,expressionism;excessivism,0001-01-01,0001-01-01
ai weiwei,Ai Weiwei,chinese,stars,conceptual art;excessivism,1957-08-28,0001-01-01
john mclaughlin,John Dwyer McLaughlin,american,four abstract classicists,minimalism,1898-05-21,1976-03-20
ruth vollmer,Ruth Landshoff Vollmer,american;german,,minimalism;post minimalism,0001-01-01,1982-01-01
antonio calderara,Antonio Calderara,italian,,minimalism,1903-10-28,1978-06-27
myron stout,Myron Stout,american,,minimalism,0001-01-01,0001-01-01
agnes martin,Agnes Bernice Martin,canadian;american,,minimalism,1912-03-22,2004-12-16
tony smith,Tony Smith,american,,minimalism,1912-09-23,1980-12-26
johannes jan schoonhoven,"Johannes Jacobus ""Jan"" Schoonhoven",dutch,zero,minimalism,1914-06-26,1994-07-31
mathias goeritz,Werner Mathias Goeritz Brunner,german;mexican,los hartos,minimalism,1915-04-04,1990-08-04
ronald bladen,Charles Ronald Wells Bladen,american;canadian,,minimalism,1918-07-13,0001-01-01
william turnbull,William Turnbull,british,,abstract expressionism;minimalism,1922-01-11,2012-11-15
genevieve asse,Geneviève Bodin (Asse),french,ecole de paris,minimalism,1923-01-24,0001-01-01
paul brach,Paul Brach,american,,minimalism,1924-03-13,2007-11-16
martin barre,Martin Barré,french,,minimalism,1924-09-22,0001-01-01
moshe kupferman,Moshe Kupferman (משה קופפרמן),jewish;polish;israeli,,abstract expressionism;minimalism,1926-08-12,2003-06-20
warren rohrer,Warren Rohrer,american,,minimalism,0001-01-01,0001-01-01
james bishop,James Bishop,french;american,,minimalism,0001-01-01,0001-01-01
donald judd,Donald Judd,american,new york school,minimalism,1928-06-03,1994-02-12
marcia hafif,Marcia Hafif,american,radical painting group,abstract expressionism;minimalism,0001-01-01,0001-01-01
peter joseph,Peter Joseph,british,,minimalism,0001-01-01,0001-01-01
lyman kipp,Lyman Kipp,american,park place,minimalism,0001-01-01,0001-01-01
jo baer,Josephine Gail Bear Kleinberg,american;jewish,,minimalism,1929-08-07,0001-01-01
robert ryman,Robert Ryman,american,,minimalism,1930-05-30,0001-01-01
frederic matys thursz,Frederic Matys Thursz,american;german,radical painting group,minimalism,1930-07-07,0001-01-01
charlotte posenenske,Charlotte Posenenske,jewish;german,,minimalism,1930-10-28,1985-10-03
joan hernandez pijuan,Joan Hernández Pijuan,spanish,,minimalism,0001-01-01,0001-01-01
robert morris,Robert Morris,american,,minimalism;post minimalism,1931-02-09,2018-11-28
ralph hotere,"Hone Papita Raukura ""Ralph"" Hotere, ONZ",new zealander,,minimalism,1931-08-11,2013-02-24
bernard cohen,Bernard Cohen,british,,abstract expressionism;minimalism;abstract art,0001-01-01,0001-01-01
dan flavin,Daniel Nicholas Flavin Jr.,american,,minimalism,1933-04-01,1996-11-29
yves gaucher,Yves Gaucher,canadian,nouveaux plasticiens,minimalism,1934-01-04,2000-09-08
bob law,Bob Law,british,,minimalism,1934-01-22,2004-04-17
john mccracken,John Harvey McCracken,american,,minimalism;light and space,1934-12-09,2011-04-08
roman cotosman,Roman Cotoșman,american;romanian,111,minimalism,0001-01-01,0001-01-01
carl andre,Carl Andre,american,,minimalism,1935-09-16,0001-01-01
walter de maria,Walter De Maria,american,,minimalism;environmental art,1935-10-01,2013-07-25
joachim bandau,Joachim Bandau,german,,minimalism,1936-04-18,0001-01-01
robert grosvenor,Robert Grosvenor,american,park place,minimalism,0001-01-01,0001-01-01
karl prantl,Karl Prantl,austrian,,post minimalism;environmental art,1923-11-05,2010-10-08
stephen antonakos,Stephen Antonakos,american;greek,,post minimalism,1926-11-01,2013-08-17
dorothea rockburne,Dorothea Rockburne,american;canadian,,post minimalism,0001-01-01,0001-01-01
sheila hicks,Sheila Hicks,american,,post minimalism,1934-07-24,0001-01-01
guy mees,Guy Mees,flemish,,post minimalism,0001-01-01,0001-01-01
takamatsu jiro,高松次郎,japanese,,post minimalism,1936-02-20,1998-06-25
richard van buren,Richard Van Buren,american,park place,post minimalism,0001-01-01,0001-01-01
pino pinelli,Pino Pinelli,italian,,post painterly abstraction;post minimalism,0001-01-01,0001-01-01
gary kuehn,Gary Kuehn,american,,post minimalism,0001-01-01,0001-01-01
bill bollinger,Bill Bollinger,american,,post minimalism,1939-07-15,1988-05-27
richard serra,Richard Serra,american,,post minimalism,1939-11-02,0001-01-01
nancy graves,Nancy Graves,american,,post minimalism,1939-12-23,1995-10-21
keith sonnier,Keith Sonnier,american,,post minimalism,0001-01-01,0001-01-01
richard tuttle,Richard Dean Tuttle,american,,minimalism;post minimalism,1941-07-12,0001-01-01
jacqueline winsor,Jacqueline Winsor,american;canadian,,post minimalism,1941-10-20,0001-01-01
bruce nauman,Bruce Nauman,american,,post minimalism,1941-12-06,0001-01-01
nobuo sekine,Nobuo Sekine (関根伸夫),japanese,mono ha,post minimalism;environmental art,0001-01-01,0001-01-01
david hammons,David Hammons,american,,post minimalism;junk art,0001-01-01,0001-01-01
florin maxa,Florin Maxa,romanian,,post minimalism,1943-01-18,0001-01-01
kishio suga,Kishio Suga,japanese,mono ha,minimalism;post minimalism,0001-01-01,0001-01-01
el anatsui,El Anatsui,ghanaian;nigerian,,junk art;post minimalism,0001-01-01,0001-01-01
phyllida barlow,Phyllida Barlow,british,,post minimalism,1944-04-04,0001-01-01
sean scully,Sean Scully,american;irish,,post minimalism;neo minimalism,1945-06-30,0001-01-01
valerie jaudon,Valerie Jaudon,american,,post minimalism;p&d,1945-08-06,0001-01-01
lita albuquerque,Lita Albuquerque,american,,post minimalism;environmental art,0001-01-01,0001-01-01
alice aycock,Alice Aycock,american,,post minimalism;environmental art,1946-11-20,0001-01-01
jurgen partenheimer,Jürgen Partenheimer,german,,conceptual art;post minimalism,1947-05-14,0001-01-01
alison wilding,Alison Wilding RA,british,new british sculpture,post minimalism,1948-07-07,0001-01-01
richard deacon,Richard Deacon CBE,british,new british sculpture,post minimalism,1949-08-15,0001-01-01
antony gormley,"Sir Antony Mark David Gormley, OBE",british,new british sculpture,post minimalism,1950-08-30,0001-01-01
rashid al khalifa,راشد آل خليفة,bahraini,,abstract art;post minimalism;contemporary realism,0001-01-01,0001-01-01
anish kapoor,Anish Kapoor,british;indian,new british sculpture,post minimalism,1954-03-12,0001-01-01
david batchelor,David Batchelor,british,,post minimalism;light and space,1955-07-17,0001-01-01
tony feher,Tony Feher,american,,post minimalism,0001-01-01,0001-01-01
ann hamilton,Ann Hamilton,american,,post minimalism,1956-06-22,0001-01-01
felix gonzalez torres,Félix González-Torres,american;cuban,group material,conceptual art;post minimalism;relational art,1957-11-26,1996-01-09
charles long,Charles Long,american,,post minimalism,0001-01-01,0001-01-01
jessica stockholder,Jessica Stockholder,american;canadian,,post minimalism,0001-01-01,0001-01-01
maya lin,Maya Ying Lin,american,,post minimalism;environmental art,1959-10-05,0001-01-01
inigo manglano ovalle,Iñigo Manglano-Ovalle,american;spanish,,post minimalism,0001-01-01,0001-01-01
tea jorjadze,თეა ჯორჯაძე,german;georgian,,post minimalism,0001-01-01,0001-01-01
noma bar,Noma Bar,israeli;british,,post minimalism,0001-01-01,0001-01-01
robert irwin,Robert Irwin,american,,light and space;environmental art,1928-09-12,0001-01-01
norman zammitt,Norman Zammitt,american;canadian,,light and space,0001-01-01,0001-01-01
craig kauffman,Craig Kauffman,american,,light and space,1932-03-31,2010-05-09
helen pashgian,Helen Pashgian,american,,light and space,0001-01-01,0001-01-01
de wain valentine,DeWain Valentine,american,,light and space,0001-01-01,0001-01-01
larry bell,Larry Bell,american,,minimalism;light and space,0001-01-01,0001-01-01
doug wheeler,Doug Wheeler,american,,light and space,0001-01-01,0001-01-01
peter alexander,Peter Alexander,american,,light and space,1939-02-27,0001-01-01
ray howlett,Ray Howlett,american,,light and space,1940-08-06,0001-01-01
fred eversley,Frederick John Eversley,american,,light and space,0001-01-01,0001-01-01
ron cooper,Ron Cooper,american,,light and space,0001-01-01,0001-01-01
laddie john dill,Laddie John Dill,american,,light and space,0001-01-01,0001-01-01
james turrell,James Turrell,american,,light and space;environmental art,1943-05-06,0001-01-01
mary corse,Mary Corse,american,,light and space,0001-01-01,0001-01-01
gregg renfrow,Gregg Renfrow,american,,light and space,0001-01-01,0001-01-01
regine schumann,Regine Schumann,german,,neo minimalism;light and space,0001-01-01,0001-01-01
gisela colon,Gisela Colon,american;canadian,,light and space;minimalism,0001-01-01,0001-01-01
leo villareal,Leo Villareal,american,,neo minimalism;light and space,0001-01-01,0001-01-01
olafur eliasson,Ólafur Elíasson,icelandic,,light and space,0001-01-01,0001-01-01
alberto carneiro,Alberto Carneiro,portuguese,,environmental art,0001-01-01,0001-01-01
robert smithson,Robert Smithson,american,,environmental art,1938-01-02,1973-07-20
nancy holt,Nancy Holt,american,,environmental art,1938-04-05,2014-02-08
michael heizer,Michael Madden Heizer,american,,minimalism;environmental art,0001-01-01,0001-01-01
marko pogacnik,Marko Pogačnik,slovenian,,pop art;conceptual art;environmental art,1944-08-11,0001-01-01
richard long,Richard Long CBE,british,,environmental art,1945-06-02,0001-01-01
wolfgang laib,Wolfgang Laib,german,,conceptual art;environmental art,1950-03-25,0001-01-01
christo and jeanne claude,Christo Vladimirov Javacheff and Jeanne-Claude Denat de Guillebon,bulgarian;french;american,,environmental art,0001-01-01,0001-01-01
michel blazy,Michel Blazy,french,,junk art,1966-04-24,0001-01-01
cassius marcellus coolidge,Kash Koolidge,american,,kitsch,1844-09-18,1934-01-13
luis ricardo falero,Luis Ricardo Falero,spanish,,kitsch,0001-01-01,1896-12-07
paul emile chabas,Paul Émile Chabas,french,,kitsch,1869-03-07,1937-05-10
harrison fisher,Harrison Fisher,american,,kitsch,1875-07-27,1934-01-19
frank xavier leyendecker,Frank Xavier Leyendecker,american,,art nouveau;kitsch,1876-01-19,1924-04-18
alberto vargas,Alberto Vargas,peruvian,,kitsch,1896-02-09,1982-12-30
konrad zuse,Konrad Ernst Otto Zuse,german,,kitsch,1910-06-22,1995-12-18
fornasetti,Piero Fornasetti,italian,,surrealism;kitsch,1913-11-10,1988-10-09
vladimir tretchikoff,Владимир Третчиков,russian,,kitsch,1913-12-26,2006-08-26
mahmoud farshchian,Mahmoud Farshchian,iranian,,kitsch,1930-01-24,0001-01-01
sabin balasa,Sabin Bălașa,romanian,,surrealism;kitsch,1932-06-17,2008-04-01
alexander shilov,Александр Шилов,russian,,kitsch,1943-10-06,0001-01-01
odd nerdrum,Odd Nerdrum,norwegian,,kitsch,1944-04-08,0001-01-01
yifei chen,陈逸飞,chinese,,people's republic of china;kitsch;photorealism;hyper realism,1946-04-14,0001-01-01
rolf ohst,Rolf Ohst,german,,contemporary realism;kitsch,0001-01-01,0001-01-01
viktor lyapkalo,Виктор Ляпкало,russian,,kitsch,1956-09-18,0001-01-01
thomas kinkade,Thomas Kinkade,american,,kitsch,1958-01-19,2012-04-06
aleksander belyaev,Александр Беляев,russian,,realism;impressionism;kitsch,1959-06-07,0001-01-01
andrey shishkin,Андрей Шишкин,russian,,kitsch,0001-01-01,0001-01-01
john currin,John Currin,american,,contemporary;contemporary realism;kitsch,0001-01-01,0001-01-01
vladimir kush,Vladimir Kush,,,surrealism;kitsch,0001-01-01,0001-01-01
mary jane ansell,Mary Jane Ansell,british,,kitsch;photorealism;hyper realism,0001-01-01,0001-01-01
sonya rapoport,Sonya Goldberg Rapoport,american;jewish,,cyberart;p&d,1923-10-06,0001-01-01
vladimir bonacic,Vladimir Bonačić,croatian,,cyberart,0001-01-01,0001-01-01
stephen prina,Stephen Prina,american,,relational art,0001-01-01,0001-01-01
maurizio cattelan,Maurizio Cattelan,italian,,relational art,1960-09-21,0001-01-01
rirkrit tiravanija,ฤกษ์ฤทธิ์ ตีระวนิช,argentinean;thai,,relational art,0001-01-01,0001-01-01
carsten holler,Carsten Höller,german;belgian,,relational art,0001-01-01,0001-01-01
pierre huyghe,Pierre Huyghe,french,,relational art,1962-09-11,0001-01-01
jorge pardo,Jorge Pardo,cuban,,relational art,0001-01-01,0001-01-01
liam gillick,Liam Gillick,british,young british artists,relational art,0001-01-01,0001-01-01
ernesto neto,Ernesto Saboia de Albuquerque Neto,brazilian,,relational art,0001-01-01,0001-01-01
dominique gonzalez foerster,Dominique Gonzalez-Foerster,french,,relational art,1965-06-30,0001-01-01
jason rhoades,Jason Rhoades,american,,relational art,1965-07-09,2006-08-01
